BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
10146748,GW004499.1.1,509.0,510.5,-373.32,-374.82,INLT,UNK,,127.0,UNK,,UNK,1,
10146748,GW004499.1.1,512.4,513.9,-376.72,-378.22,INLT,UNK,,127.0,UNK,,UNK,1,
10146748,GW004499.1.1,515.1,516.6,-379.42,-380.92,INLT,UNK,,127.0,UNK,,UNK,1,
10137015,GW004514.1.1,0.0,195.5,102.36,-93.14,LIN,UNK,,152.0,UNK,,UNK,1,
10137015,GW004514.1.1,0.0,94.7,102.36,7.66,LIN,UNK,,203.0,UNK,,UNK,1,
10082214,GW004520.1.1,0.0,400.0,116.61,-283.39,LIN,UNK,,127.0,UNK,,UNK,1,
10082214,GW004520.1.1,0.0,26.5,116.61,90.11,LIN,UNK,,254.0,UNK,,UNK,1,
10082214,GW004520.1.1,26.5,81.4,90.11,35.21,LIN,UNK,,203.0,UNK,,UNK,1,
10131163,GW005196.1.1,0.0,55.2,97.0,41.8,LIN,UNK,,152.0,UNK,,UNK,1,
10141202,GW004040.1.1,0.0,233.2,128.64,-104.56,LIN,UNK,,152.0,UNK,,UNK,1,
10118706,GW007132.1.1,0.0,272.3,107.0,-165.3,LIN,UNK,,127.0,UNK,,UNK,1,
10118706,GW007132.1.1,0.0,10.9,107.0,96.1,LIN,UNK,,152.0,UNK,,UNK,1,
10006326,GW014318.1.1,0.0,96.3,128.77,32.47,LIN,UNK,,152.0,UNK,,UNK,1,
10016292,GW005457.1.1,0.0,61.0,84.0,23.0,LIN,UNK,,152.0,UNK,,UNK,1,
10001415,GW004565.1.1,0.0,258.7,108.48,-150.22,LIN,UNK,,152.0,UNK,,UNK,1,
10001415,GW004565.1.1,0.0,97.5,108.48,10.98,LIN,UNK,,203.0,UNK,,UNK,1,
10028105,GW004567.1.1,0.0,300.1,104.1,-196.0,LIN,UNK,,127.0,UNK,,UNK,1,
10028105,GW004567.1.1,0.0,125.7,104.1,-21.6,LIN,UNK,,152.0,UNK,,UNK,1,
10028105,GW004567.1.1,0.0,73.9,104.1,30.2,LIN,UNK,,203.0,UNK,,UNK,1,
10003053,GW004581.1.1,0.0,229.8,90.0,-139.8,LIN,UNK,,152.0,UNK,,UNK,1,
10126175,GW014329.1.1,0.0,24.4,86.0,61.6,LIN,UNK,,152.0,UNK,,UNK,1,
10126175,GW014329.1.1,0.0,24.4,86.0,61.6,LIN,UNK,,152.0,UNK,,UNK,1,
10052887,GW014331.1.1,0.0,28.8,84.0,55.2,LIN,UNK,,152.0,UNK,,UNK,1,
10136840,GW012269.1.1,0.0,180.0,105.12,-74.88,LIN,UNK,,152.0,UNK,,UNK,1,
10136840,GW012269.1.1,0.0,92.6,105.12,12.52,LIN,UNK,,203.0,UNK,,UNK,1,
10145700,GW012310.1.1,0.0,426.7,122.36,-304.34,LIN,UNK,,162.0,UNK,,UNK,1,
10145700,GW012310.1.1,0.0,63.4,122.36,58.96,LIN,UNK,,203.0,UNK,,UNK,1,
10145700,GW012310.1.1,420.9,458.4,-298.54,-336.04,LIN,UNK,,127.0,UNK,,UNK,1,
10145700,GW012310.1.1,432.8,438.9,-310.44,-316.54,INLT,UNK,,127.0,UNK,,UNK,1,
10145700,GW012310.1.1,448.1,458.5,-325.74,-336.14,INLT,UNK,,127.0,UNK,,UNK,1,
10145700,GW012310.1.1,0.0,63.4,122.36,58.96,LIN,UNK,,203.0,UNK,,UNK,1,
10119856,GW021262.1.1,0.0,274.3,126.62,-147.68,LIN,UNK,,152.0,UNK,,UNK,1,
10119856,GW021262.1.1,0.0,98.5,126.62,28.12,LIN,UNK,,203.0,UNK,,UNK,1,
10086248,GW017485.1.1,0.0,59.4,85.0,25.6,LIN,UNK,,152.0,UNK,,UNK,1,
10107669,GW004268.1.1,0.0,30.5,96.82,66.32,LIN,UNK,,,UNK,,UNK,1,
10124190,GW006240.1.1,0.0,130.0,181.0,51.0,LIN,UNK,,127.0,UNK,,UNK,1,
10124190,GW006240.1.1,0.0,134.7,181.0,46.3,LIN,UNK,,152.0,UNK,,UNK,1,
10124190,GW006240.1.1,0.0,130.0,181.0,51.0,LIN,UNK,,127.0,UNK,,UNK,1,
10017406,GW015629.1.1,0.0,2.4,139.34,136.94,LIN,UNK,,152.0,UNK,,UNK,1,
10075067,GW015706.1.1,0.0,89.1,100.0,10.9,LIN,UNK,,152.0,UNK,,UNK,1,
10079987,GW010671.1.1,0.0,120.1,101.0,-19.1,LIN,UNK,,127.0,UNK,,UNK,1,
10079987,GW010671.1.1,0.0,82.0,101.0,19.0,LIN,UNK,,152.0,UNK,,UNK,1,
10059178,GW010687.1.1,0.0,248.7,98.0,-150.7,LIN,UNK,,127.0,UNK,,UNK,1,
10059178,GW010687.1.1,0.0,64.3,98.0,33.7,LIN,UNK,,152.0,UNK,,UNK,1,
10059178,GW010687.1.1,0.0,64.3,98.0,33.7,LIN,UNK,,152.0,UNK,,UNK,1,
10129602,GW010696.1.1,0.0,280.4,110.0,-170.4,LIN,UNK,,127.0,UNK,,UNK,1,
10129602,GW010696.1.1,0.0,34.8,110.0,75.2,LIN,UNK,,152.0,UNK,,UNK,1,
10129602,GW010696.1.1,435.8,502.9,-325.8,-392.9,LIN,UNK,,102.0,UNK,,UNK,1,
10129602,GW010696.1.1,441.3,449.8,-331.3,-339.8,INLT,UNK,,101.0,UNK,,UNK,1,
10129602,GW010696.1.1,454.1,472.9,-344.1,-362.9,INLT,UNK,,101.0,UNK,,UNK,1,
10129602,GW010696.1.1,490.7,493.7,-380.7,-383.7,INLT,UNK,,101.0,UNK,,UNK,1,
10129602,GW010696.1.1,500.4,501.3,-390.4,-391.3,INLT,UNK,,101.0,UNK,,UNK,1,
10131262,GW012162.1.1,0.0,64.9,106.0,41.1,LIN,UNK,,152.0,UNK,,UNK,1,
10131262,GW012162.1.1,0.0,63.3,106.0,42.7,LIN,UNK,,203.0,UNK,,UNK,1,
10144551,GW012234.1.1,0.0,84.4,112.87,28.47,LIN,UNK,,203.0,UNK,,UNK,1,
