BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
10003560.0,GW042679.1.1,0.0,64.0,79.0,15.0,11000010.0,133238.0,133270.0,"Lachlan Fold Belt - Undifferentiated
",Clay,UNK,UNK,,,-999999,
10003560.0,GW042679.1.1,64.0,69.26,15.0,9.74,11000010.0,133238.0,133270.0,"Lachlan Fold Belt - Undifferentiated
",Gravel,UNK,UNK,,,-999999,
10003560.0,GW042679.1.1,69.26,71.76,9.74,7.24,11000010.0,133238.0,133270.0,"Lachlan Fold Belt - Undifferentiated
",Clay,UNK,UNK,,,-999999,
10003560.0,GW042679.1.1,71.76,71.79,7.24,7.21,11000010.0,133238.0,133270.0,"Lachlan Fold Belt - Undifferentiated
",Rock,UNK,UNK,,,-999999,
10003699.0,GW042677.1.1,0.0,15.0,74.0,59.0,-19999999.0,-9999.0,-9999.0,Unknown,Sand,UNK,UNK,,,-999999,
10003699.0,GW042677.1.1,15.0,36.0,59.0,38.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10003699.0,GW042677.1.1,15.0,36.0,59.0,38.0,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10003699.0,GW042677.1.1,36.0,55.0,38.0,19.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10003699.0,GW042677.1.1,36.0,55.0,38.0,19.0,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10003699.0,GW042677.1.1,55.0,62.0,19.0,12.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10003699.0,GW042677.1.1,55.0,62.0,19.0,12.0,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
