BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType
10125480,GW012419.1.1,,NGS,0,339.9,,,LIN,UNK,,,UNK,,UNK,1
10125480,GW012419.1.1,,NGS,0,429.5,,,LIN,UNK,,152,UNK,,UNK,1
10125480,GW012419.1.1,,NGS,0.9,93.9,,,LIN,UNK,,203,UNK,,UNK,1
10012855,GW010657.1.1,,NGS,35.7,38.7,,,INLT,UNK,,76,UNK,,UNK,1
10123126,GW004129.1.1,110.2,NGS,0,155.2,110.2,-45,LIN,UNK,,152,UNK,,UNK,1
10123126,GW004129.1.1,110.2,NGS,306.9,360.2,-196.7,-250,LIN,UNK,,114,UNK,,UNK,1
10123126,GW004129.1.1,110.2,NGS,80.8,307,29.4,-196.8,LIN,UNK,,127,UNK,,UNK,1
10100774,GW004140.1.1,96.9,NGS,0,207,96.9,-110.1,LIN,UNK,,102,UNK,,UNK,1
10106278,GW004141.1.1,106.3,NGS,149.5,178,-43.2,-71.7,LIN,UNK,,102,UNK,,UNK,1
10106278,GW004141.1.1,106.3,NGS,210.5,243,-104.2,-136.7,INLT,UNK,,102,UNK,,UNK,1
10133532,GW012192.1.1,,NGS,0,185.6,,,LIN,UNK,,152,UNK,,UNK,1
10133532,GW012192.1.1,,NGS,0,57.5,,,LIN,UNK,,203,UNK,,UNK,1
10133532,GW012192.1.1,,NGS,0.001,57.5,,,LIN,UNK,,203,UNK,,UNK,1
10144558,GW014571.1.1,,NGS,0,51.8,,,LIN,UNK,,152,UNK,,UNK,1
10144558,GW014571.1.1,,NGS,0.001,337.7,,,LIN,UNK,,152,UNK,,UNK,1
10144558,GW014571.1.1,,NGS,0.2,89.5,,,LIN,UNK,,203,UNK,,UNK,1
10142539,GW015803.1.1,,NGS,0,282.6,,,LIN,UNK,,127,UNK,,UNK,1
10142539,GW015803.1.1,,NGS,0,82.9,,,LIN,UNK,,152,UNK,,UNK,1
10120641,GW014705.1.1,,NGS,0,39.6,,,LIN,UNK,,152,UNK,,UNK,1
10120641,GW014705.1.1,,NGS,0,39.6,,,LIN,UNK,,203,UNK,,UNK,1
10120641,GW014705.1.1,,NGS,0.2,37.8,,,LIN,UNK,,203,UNK,,UNK,1
10120641,GW014705.1.1,,NGS,0.9,52.7,,,LIN,UNK,,152,UNK,,UNK,1
10041001,GW013736.1.1,,NGS,0,39.5,,,LIN,UNK,,152,UNK,,UNK,1
10003243,GW010582.1.1,,NGS,0,90.5,,,LIN,UNK,,140,UNK,,UNK,1
10003243,GW010582.1.1,,NGS,0,38.6,,,LIN,UNK,,152,UNK,,UNK,1
10042716,GW013271.1.1,,NGS,0,24.7,,,LIN,UNK,,127,UNK,,UNK,1
10042716,GW013271.1.1,,NGS,23.2,25.6,,,INLT,UNK,,83,UNK,,UNK,1
10064436,GW010710.1.1,,NGS,0,167.6,,,LIN,UNK,,127,UNK,,UNK,1
10064436,GW010710.1.1,,NGS,0,162.5,,,LIN,UNK,,152,UNK,,UNK,1
10043099,GW010717.1.1,,NGS,64,71.9,,,INLT,UNK,,127,UNK,,UNK,1
10023538,GW010904.1.1,,NGS,52.4,55.4,,,INLT,UNK,,127,UNK,,UNK,1
10062564,GW013681.1.1,,NGS,0,50.5,,,LIN,UNK,,152,UNK,,UNK,1
10001793,GW026735.1.1,,NGS,79.2,82.2,,,INLT,UNK,,102,UNK,,UNK,1
10049589,GW015936.1.1,,NGS,39.9,42.9,,,INLT,UNK,,102,UNK,,UNK,1
10138643,GW004196.1.1,112,NGS,0,510.5,112,-398.5,LIN,UNK,,152,UNK,,UNK,1
10138643,GW004196.1.1,112,NGS,0,97.5,112,14.5,LIN,UNK,,203,UNK,,UNK,1
10090927,GW019977.1.1,,NGS,0,54.3,,,LIN,UNK,,152,UNK,,UNK,1
10090927,GW019977.1.1,,NGS,0.001,54.3,,,LIN,UNK,,152,UNK,,UNK,1
10131380,GW004260.1.1,,NGS,0,190.5,,,LIN,UNK,,127,UNK,,UNK,1
10131380,GW004260.1.1,,NGS,0,24.4,,,LIN,UNK,,152,UNK,,UNK,1
10082331,GW004272.1.1,92.7,NGS,0,43.3,92.7,49.4,LIN,UNK,,171,UNK,,UNK,1
10094471,GW006216.1.1,,NGS,222.5,224,,,INLT,UNK,,152,UNK,,UNK,1
10094471,GW006216.1.1,,NGS,225.6,227.1,,,INLT,UNK,,152,UNK,,UNK,1
10094471,GW006216.1.1,,NGS,228.6,230.1,,,INLT,UNK,,152,UNK,,UNK,1
10030081,GW006331.1.1,,NGS,0,58.5,,,LIN,UNK,,127,UNK,,UNK,1
10030081,GW006331.1.1,,NGS,0,48.9,,,LIN,UNK,,152,UNK,,UNK,1
10107237,GW004583.1.1,,NGS,0,69.4,,,LIN,UNK,,152,UNK,,UNK,1
10121730,GW021752.1.1,,NGS,0,13.6,,,LIN,UNK,,152,UNK,,UNK,1
10121730,GW021752.1.1,,NGS,0,3.4,,,INLT,UNK,,76,UNK,,UNK,1
10005095,GW013021.1.1,,NGS,0,106.7,,,LIN,UNK,,152,UNK,,UNK,1
10127506,GW013048.1.1,,NGS,0,93,,,LIN,UNK,,114,UNK,,UNK,1
10127506,GW013048.1.1,,NGS,0,98.8,,,LIN,UNK,,152,UNK,,UNK,1
10127506,GW013048.1.1,,NGS,0.001,100.6,,,LIN,UNK,,114,UNK,,UNK,1
10127506,GW013048.1.1,,NGS,96,100.6,,,INLT,UNK,,114,UNK,,UNK,1
10094859,GW011075.1.1,,NGS,0,29.3,,,LIN,UNK,,152,UNK,,UNK,1
10104731,GW011098.1.1,,NGS,0,92.9,,,LIN,UNK,,152,UNK,,UNK,1
10071577,GW011035.1.1,,NGS,0,244.6,,,LIN,UNK,,127,UNK,,UNK,1
10071577,GW011035.1.1,,NGS,0,25.6,,,LIN,UNK,,152,UNK,,UNK,1
10071577,GW011035.1.1,,NGS,0.001,25.6,,,LIN,UNK,,152,UNK,,UNK,1
10113866,GW034740.1.1,,NGS,0,30.2,,,LIN,UNK,,152,UNK,,UNK,1
10049057,GW022172.1.1,,NGS,0,57.5,,,LIN,UNK,,203,UNK,,UNK,1
10049057,GW022172.1.1,,NGS,0.4,229.5,,,LIN,UNK,,152,UNK,,UNK,1
10145534,GW012428.1.1,,NGS,0,365.8,,,LIN,UNK,,152,UNK,,UNK,1
10145534,GW012428.1.1,,NGS,0.001,94.2,,,LIN,UNK,,203,UNK,,UNK,1
10145535,GW012448.1.1,,NGS,0,243.8,,,LIN,UNK,,152,UNK,,UNK,1
10145535,GW012448.1.1,,NGS,0,82.3,,,LIN,UNK,,203,UNK,,UNK,1
10145535,GW012448.1.1,,NGS,0.001,82.3,,,LIN,UNK,,203,UNK,,UNK,1
